title,url,img,category
CSK fans’ creative wedding invitation gets special shoutout from IPL fans,/trending/csk-fans-creative-wedding-invitation-gets-special-shoutout-from-ipl-fans-fantastic-partnership-101713434326009.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/ipl-csk-wedding-invitation-viral_1713434880934_1713434891404.jpg,trending
IAS officer shares late father’s handwritten note from UPSC result day,/trending/ias-officer-shares-late-father-s-handwritten-note-from-upsc-result-day-says-it-reminds-me-of-101713426992656.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/ias-upsc-success-day-father-handwritten-letter_1713428251130_1713428263668.jpg,trending
Bengaluru company charges ,/trending/bengaluru-company-charges-rs-1500-for-hugging-trees-at-cubbon-park-forest-bathing-experience-101713424836983.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/Forest_Bathing_Experience_Cubbon_Park_Bengaluru_1713425454198_1713425454506.png,trending
Woman wheels corpse into Brazil bank to sign for loan,/trending/woman-wheels-corpse-into-brazil-bank-to-sign-for-loan-101713425161754.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/Screenshot_2024-04-18_132648_1713427078039_1713427087711.png,trending
"Latest News, Live Updates Today April 18, 2024: ‘India is top-tier security partner’: Australia in first national defence strategy",/india-news/latest-india-news-today-live-updates-april-18-2024-101713403806539.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/150x84/Prime-Minister-Narendra-Modi-with-Australian-PM-An_1713437743428.jpg,india-news
‘India is top-tier security partner’: Australia in first national defence strategy,/india-news/india-is-top-tier-security-partner-australia-in-first-national-defence-strategy-101713437790806.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/150x84/Prime-Minister-Narendra-Modi-with-Australian-PM-An_1713437743428.jpg,india-news
"Arvind Kejriwal eating mangoes, sweets in jail to raise sugar levels: ED",/india-news/arvind-kejriwal-deliberately-eating-mangoes-sweets-ed-on-delhi-cms-plea-to-monitor-sugar-levels-101713430311946.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/Delhi-chief-minister-Arvind-Kejriwal--PTI-_1713430311288_1713430367468.jpg,india-news
Lok Sabha Elections 2024: Step-by-step polling guide for first-time voters,/india-news/lok-sabha-elections-2024-step-by-step-polling-guide-for-first-time-voters-101713431110483.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/INDIA-ELECTION-PREPS-6_1713432226385_1713432258959.JPG,india-news
What is snail mucin and what are its benefits? Exploring the skincare craze,/lifestyle/health/what-is-snail-mucin-and-what-are-its-benefits-exploring-the-popular-skincare-craze-101713434954744.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/558f04d8-f2f3-11ec-91b5-54ec88d6cb87_1655989013617_1713436065893.jpg,lifestyle
Signs of Thyroid issues with PCOS: Dietitian explains,/photos/lifestyle/signs-of-thyroid-issues-with-pcos-dietitian-explains-101713435230965.html,,photos
Berlin exhibition honours Caspar David Friedrich's 250th birthday anniversary,/lifestyle/art-culture/berlin-celebrates-caspar-david-friedrichs-250th-birthday-anniversary-with-iconic-landscape-exhibition-101713431499100.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/APTOPIX-Germany-Friedrich-Exhibition-0_1713432571379_1713432606841.jpg,lifestyle
Eight goals to keep in mind to combat C-PTSD: Therapist explains,/lifestyle/health/how-to-combat-complex-ptsd-eight-goals-to-keep-in-mind-and-practice-therapist-explains-101713430920033.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/iuytr_1698823427478_1713431010455.jpg,lifestyle
"AP Inter result 2024 out: Link to check IPE 1st, 2nd year scores on HT Portal",/education/board-exams/ap-inter-result-2024-link-to-check-ipe-1st-2nd-year-scores-on-ht-portal-101712887329514.html,https://www.hindustantimes.com/ht-img/img/2024/04/12/148x111/ap_inter_result_1712888963130_1712888970984.png,education
"BIE AP Inter results 2024 for 1st, 2nd year announced",/education/board-exams/bie-ap-inter-results-2024-for-1st-2nd-year-resultsbie-ap-gov-in-direct-link-how-to-check-latest-news-101712883127570.html,https://www.hindustantimes.com/ht-img/img/2024/04/12/148x111/ap_inter_results_1712883484392_1712883484648.jpg,education
"MP Board Result 2024 Live: When is MPBSE 10th, 12th results? See expected date",/education/board-exams/mp-board-result-2024-live-mpbse-10th-12th-5th-8th-results-on-mpresults-nic-in-date-and-time-direct-link-toppers-news-101713323475744.html,https://www.hindustantimes.com/ht-img/img/2024/04/17/148x111/mp_board_result_2024_1713324220339_1713324234355.png,education
PSEB 10th Result 2024 Live: Ludhiana's Aditi gets 100% in Punjab Class 10 result,/education/board-exams/pseb-10th-result-2024-live-punjab-board-class-10-result-pseb-ac-in-indiaresults-link-how-to-check-toppers-latest-news-101713406188926.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/pseb_punjab_board_10th_result_2024_1713428607254_1713428618810.png,education
